uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
0fbc36ee-c04c-45bc-910b-bf43a306c203,,,CABO DELGADO,CABO DELGADO,CABO DELGADO,CABO DELGADO,Misc,N/A,,
dabc336d-e0d1-44a3-a875-1909511409d0,,,GAZA,GAZA,GAZA,GAZA,Misc,N/A,,
769b6d94-c7ea-49c6-9996-47d29033b658,,,INHAMBANE,INHAMBANE,INHAMBANE,INHAMBANE,Misc,N/A,,
c7fc50e1-71bf-4cc4-b42d-6ea4640c893a,,,MANICA,MANICA,MANICA,MANICA,Misc,N/A,,
14d5ba59-1c75-4a90-8bf6-0cff42c46f80,,,MAPUTO CIDADE,MAPUTO CIDADE,MAPUTO CIDADE,MAPUTO CIDADE,Misc,N/A,,
5ecf7de2-254f-4a91-a42d-6ed227d70193,,,MAPUTO PROVINCIA,MAPUTO PROVINCIA,MAPUTO PROVINCIA,MAPUTO PROVINCIA,Misc,N/A,,
f512682f-af55-4158-9d30-2d72f9b3bd48,,,NAMPULA,NAMPULA,NAMPULA,NAMPULA,Misc,N/A,,
bb1764da-62c1-4dbf-beee-181769f89cea,,,NIASSA,NIASSA,NIASSA,NIASSA,Misc,N/A,,
97ddacec-376a-46ee-ab1f-5a4af281bafd,,,SOFALA,SOFALA,SOFALA,SOFALA,Misc,N/A,,
8f386eff-43a9-4b56-a6d0-afd3f4e7bd58,,,TETE Province,TETE Province,TETE,TETE,Misc,N/A,,
c2011bed-1984-4796-a377-c59941d493b9,,,ZAMBEZIA,ZAMBEZIA,ZAMBEZIA,ZAMBEZIA,Misc,N/A,,
